,subkey,0
486,AppXyt4e1r8vtws4tapcb0n9kk2abqj22kv2,1
487,AppXyte1agk1gt765291prervr3pvygjqp1d,1
488,AppXyvnwgsgj1xkc859fkfds2ntpnrs6dwdz,1
489,AppXz1f7mt6twtw1bqxtxypg66a1xzfg1t03,1
490,AppXz1mya4qsx2hgcqacrrnganpnwc9q6mnn,1
491,AppXz2d7qm1dmekjyt1p721ccpt9mfr1a0p2,1
492,AppXz72mnx1bvccfdfre5de7k7k4gbtpv7d1,1
493,AppXz8mxx9pzpvbb0q1gkn88setxv0fqkjn8,1
494,AppXzakfgeejsmwhgzp8fdnp87dyfh9kb9m2,1
495,AppXzaqbpab3cev3y07hxar8tqzkhjvhbjej,1
496,AppXzdsck4d2we29n84qy08hzf2d62jj8mek,1
497,AppXzg6fdzp57dpmt1dqardd3y48kkx0qb78,1
498,AppXzszr1fd6kjtadqyjr8tm860dyd4bdffy,1
499,AppXztymbw55c24qp3qfb1jac0r6a8w3rtfq,1
500,AppXzwzqcpbryaqwje9458k5ykwbyg5fzk8y,1
501,AppXzych6jbn7p3xzarpfwgxas39g87myyjf,1
502,AppXzyv64k6wgzc1mwdb5d2p9pbmeg56sas5,1
503,Application.Manifest,1
20,.cr3,1
505,ApplicationContent,1
21,.crw,1
507,AudioCD,1
22,.csv,1
509,AutoCAD.Drawing,1
23,.dcr,1
24,.dcs,1
512,AutoCADAuditLog,1
513,AutoCADAutoCADVisualLispApplication,1
514,AutoCADAutoLISPFastLoadFile,1
515,AutoCADColorDependentPlotStyleTableFile,1
516,AutoCADDXFIXSupport,1
517,AutoCADDialogDefinition,1
518,AutoCADDialogErrorLog,1
25,.dft,1
27,.dng,1
28,.docx,1
522,AutoCADFilterList,1
523,AutoCADFontMap,1
524,AutoCADHatchPatternDefinition,1
29,.drf,1
526,AutoCADLTAuditLog,1
527,AutoCADLTAutoCADVisualLispApplication,1
528,AutoCADLTAutoLISPFastLoadFile,1
529,AutoCADLTColorDependentPlotStyleTableFile,1
530,AutoCADLTCustomDictionary,1
531,AutoCADLTDXFIXSupport,1
532,AutoCADLTDialogDefinition,1
533,AutoCADLTDialogErrorLog,1
34,.eip,1
535,AutoCADLTDrawingStandardsFile.24,1
536,AutoCADLTFilterList,1
537,AutoCADLTFontMap,1
538,AutoCADLTHatchPatternDefinition,1
539,AutoCADLTLayerState,1
540,AutoCADLTLinetypeDefinition,1
541,AutoCADLTMenuSource,1
542,AutoCADLTMenuTemplate,1
543,AutoCADLTPostScriptPatterns,1
544,AutoCADLTPostScriptSupport,1
545,AutoCADLTProgramParameters,1
546,AutoCADLTScriptFile,1
547,AutoCADLTShapeSource,1
548,AutoCADLTSheetSet.24,1
549,AutoCADLTStatusLog,1
550,AutoCADLTStyleSheetFile,1
35,.erf,1
552,AutoCADLTUnitDefinition,1
553,AutoCADLTXREFLog,1
554,AutoCADLayerState,1
555,AutoCADLinetypeDefinition,1
556,AutoCADMenuSource,1
557,AutoCADMenuTemplate,1
558,AutoCADMultilineDefinition,1
559,AutoCADPostScriptPatterns,1
560,AutoCADPostScriptSupport,1
561,AutoCADProgramParameters,1
562,AutoCADScriptFile,1
563,AutoCADShapeSource,1
36,.fff,1
565,AutoCADStandardsCheckFile.25,1
566,AutoCADStyleSheetFile,1
38,.fluid,1
41,.iiq,1
569,AutoCADUnitDefinition,1
570,AutoCADXREFLog,1
10,.ari,1
43,.k25,1
573,AutodeskColorBook,1
574,BannerNotificationHandler.BannerNotificationHandler,1
575,Blizzv1,1
44,.kdc,1
45,.library-ms,1
578,CATFile,1
47,.loop,1
56,.mef,1
60,.mos,1
72,.mrw,1
583,CertificateStoreFile,1
584,ChromeHTML,1
585,ChromePDF,1
587,CloudBackedFile,1
26,.dgn,1
588,acad-acc,1
589,acad-openindesktop,1
74,.nef,1
75,.note,1
76,.nrw,1
593,adsk.idmgr,1
594,adskidmgr,1
77,.odt,1
596,blendfile,1
597,brmFile,1
598,campfile,1
599,capcut,1
600,cdmpfile,1
601,certificate_wab_auto_file,1
11,.arw,1
