root,subkey,count
HKEY_CLASSES_ROOT,.chkn,1
HKEY_CLASSES_ROOT,.chm,0
HKEY_CLASSES_ROOT,.chq,1
HKEY_CLASSES_ROOT,.chw,1
HKEY_CLASSES_ROOT,.chx,0
HKEY_CLASSES_ROOT,.cjs,1
HKEY_CLASSES_ROOT,.clj,1
HKEY_CLASSES_ROOT,.cljs,1
HKEY_CLASSES_ROOT,.cljx,1
HKEY_CLASSES_ROOT,.clojure,1
HKEY_CLASSES_ROOT,.cls,2
HKEY_CLASSES_ROOT,.cmake,1
HKEY_CLASSES_ROOT,.cmd,1
HKEY_CLASSES_ROOT,.cod,1
HKEY_CLASSES_ROOT,.code-workspace,1
HKEY_CLASSES_ROOT,.coffee,1
HKEY_CLASSES_ROOT,.com,1
HKEY_CLASSES_ROOT,.compositefont,0
HKEY_CLASSES_ROOT,.concepts,1
HKEY_CLASSES_ROOT,.config,1
HKEY_CLASSES_ROOT,.contact,2
HKEY_CLASSES_ROOT,.containerfile,1
HKEY_CLASSES_ROOT,.copilot,1
HKEY_CLASSES_ROOT,.cpio,1
HKEY_CLASSES_ROOT,.cpl,1
HKEY_CLASSES_ROOT,.cpp,2
HKEY_CLASSES_ROOT,.cr2,2
HKEY_CLASSES_ROOT,.cr3,2
HKEY_CLASSES_ROOT,.cramfs,1
HKEY_CLASSES_ROOT,.crl,0
HKEY_CLASSES_ROOT,.crt,0
HKEY_CLASSES_ROOT,.crw,2
HKEY_CLASSES_ROOT,.crx,0
HKEY_CLASSES_ROOT,.cs,2
HKEY_CLASSES_ROOT,.csa,1
HKEY_CLASSES_ROOT,.cshtml,1
HKEY_CLASSES_ROOT,.csproj,2
HKEY_CLASSES_ROOT,.css,2
HKEY_CLASSES_ROOT,.csv,2
HKEY_CLASSES_ROOT,.csx,1
HKEY_CLASSES_ROOT,.ctb,0
HKEY_CLASSES_ROOT,.ctp,1
HKEY_CLASSES_ROOT,.cui,0
HKEY_CLASSES_ROOT,.cuix,0
HKEY_CLASSES_ROOT,.cur,1
HKEY_CLASSES_ROOT,.cus,0
HKEY_CLASSES_ROOT,.cxx,2
HKEY_CLASSES_ROOT,.dart,1
HKEY_CLASSES_ROOT,.dat,0
HKEY_CLASSES_ROOT,.db,0
HKEY_CLASSES_ROOT,.dbd,0
HKEY_CLASSES_ROOT,.dbg,1
HKEY_CLASSES_ROOT,.dbk,1
HKEY_CLASSES_ROOT,.dbop,0
HKEY_CLASSES_ROOT,.dbq,0
HKEY_CLASSES_ROOT,.dbs,1
HKEY_CLASSES_ROOT,.dbt,0
HKEY_CLASSES_ROOT,.dbx,0
HKEY_CLASSES_ROOT,.dce,0
HKEY_CLASSES_ROOT,.dcl,0
